,sdg 1,sdg 2,sdg 3,sdg 4,sdg 5,sdg 6,sdg 7,sdg 8,sdg 9,sdg 10,sdg 11,sdg 12,sdg 13,sdg 14,sdg 15,sdg 16,sdg 17,risk tag,P1,N1,P2,N2,P3,N3,P1_adjusted,N1_adjusted,P2_adjusted,N2_adjusted,P3_adjusted,N3_adjusted
user249,0.5,0.25,0.5,0.0,0.0,0.5,1.0,0.5,0.75,0.0,0.5,0.75,0.25,0.0,0.0,1.0,0.75,1.0,GS리테일,HD현대중공업,SK텔레콤,한화손해보험,LG유플러스,애경산업,동원시스템즈,애경산업,LG디스플레이,현대오토에버,한세실업,현대엘리베이터
user250,0.25,0.25,0.0,1.0,0.0,0.75,0.25,0.25,0.25,1.0,0.0,0.25,0.25,0.25,0.0,1.0,0.25,2.0,현대엘리베이터,한화손해보험,삼성증권,HD현대중공업,NH투자증권,DS단석,롯데하이마트,카카오페이,NH투자증권,한화손해보험,넥센타이어,카카오
user251,0.5,0.25,1.0,0.25,0.25,0.25,0.25,0.0,0.75,0.0,0.25,0.25,0.25,0.75,0.5,1.0,0.25,1.0,하나금융지주,미스토홀딩스,한화생명,애경산업,우리금융지주,한화손해보험,삼성화재,현대오토에버,현대글로비스,애경산업,한화생명,한온시스템
user252,1.0,0.0,0.5,0.75,0.5,1.0,0.25,0.0,0.75,0.0,0.75,0.75,1.0,0.5,1.0,0.0,0.5,2.0,SK텔레콤,SK스퀘어,우리금융지주,HD현대중공업,삼성증권,한세실업,KB금융,SK스퀘어,한화생명,두산,교보증권,현대오토에버
user253,0.0,0.75,0.75,1.0,0.75,0.25,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.75,0.0,0.0,0.25,2.0,삼성증권,SK스퀘어,SK텔레콤,한일단조,넷마블,한국가스공사,두산밥캣,OCI 홀딩스,한국타이어앤테크놀로지,콜마홀딩스,LG전자,두산
user254,0.75,0.0,0.0,0.75,0.75,0.75,0.75,1.0,0.75,0.5,1.0,0.25,0.0,0.75,0.25,1.0,0.5,0.0,JB금융지주,애경산업,현대오토에버,현대엘리베이터,한전KPS,미스토홀딩스,한화시스템,애경산업,한화에어로스페이스,현대엘리베이터,다올투자증권,미스토홀딩스
user255,1.0,0.0,0.75,0.5,0.5,0.25,1.0,0.25,1.0,0.5,0.0,1.0,0.0,0.25,1.0,1.0,1.0,2.0,SK텔레콤,HD현대중공업,대한항공,한화손해보험,KT,삼성중공업,KT,카카오페이,HL만도,SK바이오팜,에스엘,카카오
user256,0.5,0.75,0.25,0.75,0.5,0.0,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.75,0.25,0.75,0.5,1.0,NH투자증권,미스토홀딩스,삼성증권,엘앤에프,BNK금융,DS단석,롯데이노베이트,SK바이오팜,LX세미콘,OCI 홀딩스,삼성화재,DS단석
user257,0.5,0.5,0.5,1.0,1.0,0.25,0.75,1.0,0.0,0.75,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,NH투자증권,애경산업,대한항공,SK스퀘어,넷마블,현대엘리베이터,세아베스틸지주,애경산업,한온시스템,현대엘리베이터,삼성화재,OCI 홀딩스
user258,0.5,0.5,0.0,0.25,1.0,0.25,0.5,0.25,0.25,0.0,1.0,1.0,0.0,0.25,0.5,0.25,0.75,0.0,현대오토에버,애경산업,카카오페이,현대엘리베이터,HDC현대산업개발,HD현대중공업,HDC현대산업개발,애경산업,LS ELCTRIC,현대엘리베이터,카카오페이,하이트진로
user259,0.25,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.75,0.25,0.0,0.25,1.0,하이트진로,한화손해보험,삼성증권,SK스퀘어,S-OIL,한세실업,S-OIL,한일단조,롯데웰푸드,한화손해보험,삼성화재,두산퓨얼셀
user260,1.0,0.25,1.0,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.75,0.5,0.5,0.5,0.0,0.75,0.0,2.0,삼성증권,한화손해보험,현대엘리베이터,HD현대중공업,메리츠금융지주,한화솔루션,삼성화재,현대오토에버,보령,OCI 홀딩스,롯데렌탈,한화손해보험
user261,0.75,1.0,0.75,0.5,0.25,1.0,0.25,0.5,0.75,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.75,1.0,삼성증권,HD현대중공업,JB금융지주,미스토홀딩스,NH투자증권,두산퓨얼셀,롯데이노베이트,애경산업,포스코홀딩스,현대엘리베이터,한화생명,OCI 홀딩스
user262,1.0,0.25,0.25,0.25,0.25,0.75,0.5,0.75,0.5,0.25,0.0,0.5,1.0,1.0,0.25,0.5,0.75,0.0,KCC,애경산업,현대오토에버,현대엘리베이터,세방전지,SK디앤디,HD현대중공업,애경산업,삼성중공업,현대엘리베이터,한국가스공사,롯데렌탈
user263,0.75,0.0,0.5,0.0,0.0,0.75,0.0,0.25,0.5,0.75,0.5,0.0,0.75,1.0,1.0,0.75,0.5,0.0,S-OIL,애경산업,카카오,현대엘리베이터,한화시스템,미스토홀딩스,HD현대중공업,애경산업,삼성중공업,현대엘리베이터,한국가스공사,하나투어
user264,1.0,0.5,0.0,1.0,0.25,1.0,0.25,1.0,0.5,0.5,0.25,1.0,0.0,0.5,0.25,0.5,0.25,1.0,GS리테일,한화손해보험,세방전지,HD현대중공업,하이트진로,애경산업,세아베스틸지주,애경산업,롯데이노베이트,현대엘리베이터,현대위아,카카오페이
user265,0.75,0.25,0.0,0.0,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.5,1.0,0.75,0.0,2.0,우리금융지주,HD현대중공업,BNK금융,두산퓨얼셀,하나금융지주,엘앤에프,우리금융지주,애경케미칼,메리츠금융지주,상상인증권,한섬,카카오페이
user266,0.25,0.25,0.5,0.25,1.0,0.25,0.5,0.0,1.0,1.0,0.75,0.25,0.0,0.75,0.5,1.0,0.75,1.0,삼성증권,애경산업,JB금융지주,미스토홀딩스,KB금융,HD현대중공업,삼성전기,애경산업,포스코홀딩스,현대엘리베이터,NEVER,애경케미칼
user267,0.5,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.75,0.75,0.0,0.5,0.0,0.75,1.0,0.0,다올투자증권,애경산업,상상인증권,현대엘리베이터,롯데이노베이트,한화손해보험,한화에어로스페이스,애경산업,다올투자증권,현대엘리베이터,LG이노텍,아시아나항공
user268,1.0,0.5,0.75,1.0,0.75,0.5,0.75,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.75,0.25,0.0,미래에셋증권,애경산업,다올투자증권,현대엘리베이터,한미글로벌,HD현대중공업,한미글로벌,애경산업,한화시스템,현대엘리베이터,다올투자증권,미스토홀딩스
user269,0.0,1.0,0.75,0.75,0.5,0.5,0.0,0.0,1.0,0.25,0.75,0.75,0.25,0.25,0.75,0.0,0.5,2.0,삼성증권,HD현대중공업,SK텔레콤,SK스퀘어,롯데웰푸드,한일단조,롯데웰푸드,현대오토에버,한국타이어앤테크놀로지,OCI 홀딩스,현대모비스,HD현대중공업
user270,1.0,0.75,0.75,0.0,0.0,0.25,0.25,0.0,1.0,0.0,0.75,0.5,0.75,0.25,0.25,0.75,0.25,2.0,SK텔레콤,HD현대중공업,삼성증권,한화손해보험,현대엘리베이터,OCI 홀딩스,한국금융지주,현대오토에버,한화생명,OCI 홀딩스,SK텔레콤,애경케미칼
user271,0.75,0.0,0.0,0.75,0.75,0.0,1.0,0.0,1.0,0.75,1.0,1.0,0.25,0.75,0.25,0.5,0.25,0.0,현대오토에버,애경산업,한화투자증권,현대엘리베이터,한미글로벌,기업은행,미래에셋증권,애경산업,한화투자증권,현대엘리베이터,한미글로벌,하이트진로
user272,0.5,1.0,0.5,0.0,0.25,0.75,0.5,0.5,0.5,0.25,0.5,0.75,1.0,0.75,1.0,1.0,0.0,1.0,우리금융지주,애경산업,롯데웰푸드,한화손해보험,코오롱ENP,현대엘리베이터,이마트,애경산업,롯데이노베이트,현대엘리베이터,동원산업,현대오토에버
user273,0.25,0.25,0.0,0.0,0.75,0.25,0.0,0.25,0.25,0.0,0.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,코오롱인더,HD현대중공업,코오롱ENP,미래에셋증권,하나투어,OCI 홀딩스,코오롱인더,OCI 홀딩스,한세실업,카카오페이,동원산업,애경케미칼
user274,0.0,1.0,0.0,0.0,0.5,0.75,0.0,0.25,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.5,1.0,삼성증권,HD현대중공업,NH투자증권,SK스퀘어,JB금융지주,두산,오뚜기,OCI 홀딩스,롯데이노베이트,애경케미칼,유한양행,두산
user275,0.5,0.5,1.0,0.5,0.0,0.25,0.25,1.0,0.25,0.0,0.75,0.5,0.0,0.75,0.25,1.0,1.0,0.0,상상인증권,애경산업,다올투자증권,현대엘리베이터,카카오,한화손해보험,한화에어로스페이스,애경산업,HD현대건설기계,현대엘리베이터,다올투자증권,하이트진로
user276,0.25,0.5,0.5,0.75,0.0,0.25,0.0,0.75,0.0,0.5,0.75,1.0,0.25,0.0,0.75,0.0,0.0,1.0,삼양홀딩스,HD현대중공업,삼양사,한화손해보험,우리금융지주,한세실업,현대모비스,한세실업,세아베스틸지주,애경산업,두산밥캣,한일단조
user277,1.0,1.0,0.75,1.0,0.0,0.0,0.25,0.0,1.0,0.0,0.5,1.0,0.75,0.25,0.5,0.5,0.75,2.0,SK텔레콤,HD현대중공업,삼성증권,한화손해보험,KT,OCI 홀딩스,교보증권,OCI 홀딩스,이마트,SK바이오팜,KT,콜마홀딩스
user278,0.5,0.25,0.75,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.25,0.5,1.0,삼성증권,SK디앤디,SK텔레콤,SK스퀘어,NH투자증권,HL홀딩스,삼성화재,OCI 홀딩스,KCC,콜마홀딩스,한화생명,SK디앤디
user279,0.0,1.0,0.0,0.75,1.0,0.75,0.75,0.25,1.0,0.5,0.0,0.25,0.25,0.5,0.25,0.5,0.5,1.0,NH투자증권,HD현대중공업,삼성증권,미스토홀딩스,아시아나항공,SK디앤디,롯데이노베이트,애경산업,동원시스템즈,SK디앤디,영원무역,카카오페이
user280,0.25,0.75,0.25,0.75,0.25,1.0,0.25,0.0,0.0,1.0,1.0,0.25,0.75,0.5,0.0,0.5,0.75,0.0,NH투자증권,애경산업,JB금융지주,현대엘리베이터,상상인증권,미스토홀딩스,상상인증권,애경산업,한화투자증권,현대엘리베이터,현대로템,하이트진로
user281,1.0,1.0,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.0,1.0,0.25,0.0,0.25,0.0,동원산업,애경산업,BGF리테일,현대엘리베이터,삼성화재,롯데렌탈,HD현대중공업,애경산업,한화손해보험,현대엘리베이터,한미약품,롯데렌탈
user282,0.75,0.0,0.0,1.0,0.5,0.25,0.75,1.0,0.25,0.5,0.0,0.25,0.5,0.0,1.0,1.0,0.25,2.0,메리츠금융지주,HD현대중공업,삼성증권,DS단석,BNK금융,삼성중공업,롯데하이마트,카카오페이,기업은행,SK바이오팜,현대위아,현대로템
user283,0.25,0.0,0.5,0.0,0.25,0.5,0.75,0.5,0.25,0.75,0.75,0.75,0.5,1.0,0.25,1.0,0.25,2.0,우리금융지주,한화손해보험,BNK금융,HD현대중공업,메리츠금융지주,한미글로벌,동국제강,한미글로벌,에스엘,애경케미칼,LG디스플레이,현대오토에버
user284,0.25,0.5,0.5,0.75,0.25,1.0,0.25,0.5,1.0,0.5,0.75,1.0,1.0,0.5,0.5,0.0,0.5,0.0,KCC,애경산업,SK텔레콤,현대엘리베이터,현대로템,롯데렌탈,한화투자증권,애경산업,LG에너지솔루션,현대엘리베이터,두산에너빌리티,롯데렌탈
user285,1.0,0.5,0.25,0.0,0.25,0.25,1.0,0.5,0.0,0.0,1.0,1.0,0.75,0.0,0.0,0.0,0.75,2.0,GS리테일,HD현대중공업,SK텔레콤,SK스퀘어,애경산업,한화손해보험,두산밥캣,애경케미칼,KB금융,콜마홀딩스,SK네트웍스,현대제철
user286,0.75,1.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,0.0,0.75,1.0,0.75,0.25,0.75,0.0,1.0,0.0,KC그린홀딩스,애경산업,한화,현대엘리베이터,두산에너빌리티,기업은행,한화손해보험,애경산업,한화,현대엘리베이터,두산에너빌리티,롯데렌탈
user287,1.0,0.75,1.0,0.5,0.5,0.25,1.0,0.75,0.0,1.0,0.0,0.5,0.0,0.75,0.5,0.5,0.75,1.0,세방전지,애경산업,NH투자증권,현대엘리베이터,대한항공,HD현대중공업,삼성화재,애경산업,OCI,현대엘리베이터,한전KPS,SK디앤디
user288,0.75,0.25,1.0,0.5,0.0,0.0,0.25,0.75,0.5,0.25,0.5,1.0,0.5,0.0,0.0,0.5,0.5,2.0,삼성증권,HD현대중공업,SK텔레콤,한화손해보험,현대엘리베이터,OCI 홀딩스,두산밥캣,OCI 홀딩스,KT,한화손해보험,삼성바이오로직스,HD현대중공업
user289,1.0,0.5,0.75,0.5,0.25,0.75,0.75,0.75,0.0,0.75,0.25,0.75,0.75,0.75,1.0,0.5,0.0,1.0,세방전지,애경산업,우리금융지주,현대엘리베이터,BGF리테일,HL홀딩스,삼성화재,현대엘리베이터,삼성전자,애경산업,고려아연,SK디앤디
user290,0.75,0.75,0.0,0.0,0.25,1.0,0.5,1.0,1.0,0.5,0.75,0.25,0.0,0.25,0.5,0.0,0.25,1.0,우리금융지주,HD현대중공업,NH투자증권,HL홀딩스,삼성증권,한세실업,KCC,애경케미칼,롯데이노베이트,애경산업,한전KPS,현대엘리베이터
user291,0.0,0.75,1.0,1.0,0.25,0.5,1.0,0.5,0.25,0.25,0.75,0.5,1.0,1.0,0.0,0.75,0.25,1.0,삼성생명,한화손해보험,NH투자증권,애경산업,SK텔레콤,미스토홀딩스,삼성생명,애경산업,롯데이노베이트,현대엘리베이터,삼성화재,현대오토에버
user292,0.5,0.25,0.25,0.25,0.0,0.75,0.0,0.25,0.0,0.0,0.25,1.0,1.0,0.25,0.5,1.0,0.25,0.0,코오롱인더,애경산업,HD현대건설기계,현대엘리베이터,세아베스틸지주,한화손해보험,SK스퀘어,현대엘리베이터,SKC,애경산업,SK바이오팜,하이트진로
user293,1.0,0.0,0.25,0.25,0.0,1.0,1.0,0.25,1.0,0.75,1.0,1.0,0.5,0.0,1.0,0.75,1.0,2.0,SK텔레콤,HD현대중공업,우리금융지주,한화손해보험,GS리테일,SK스퀘어,LG디스플레이,애경케미칼,현대위아,HD현대중공업,KB금융,한화손해보험
user294,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.5,0.75,0.25,0.75,1.0,0.0,세방전지,애경산업,KCC,현대엘리베이터,현대로템,한화손해보험,에코프로머티,애경산업,HD현대건설기계,현대엘리베이터,삼성중공업,하나투어
user295,0.75,0.5,0.0,0.0,0.75,0.75,0.75,1.0,0.5,1.0,0.75,0.25,1.0,0.0,0.5,1.0,0.75,0.0,JB금융지주,애경산업,미래에셋증권,현대엘리베이터,KB금융,HD현대중공업,한국가스공사,애경산업,한화,현대엘리베이터,지역난방공사,하이트진로
user296,1.0,0.0,0.5,0.75,0.75,1.0,0.5,0.75,0.5,1.0,0.0,0.25,0.0,0.75,0.25,0.25,1.0,2.0,삼성증권,엘앤에프,NH투자증권,SK스퀘어,대한항공,SK디앤디,S-OIL,카카오페이,OCI,신세계 I&C,현대위아,한일단조
user297,0.25,0.0,0.0,0.25,1.0,0.5,1.0,0.25,0.25,0.0,0.25,0.5,1.0,0.25,0.75,0.75,0.25,1.0,아시아나항공,HD현대중공업,KB금융,애경산업,메리츠금융지주,상상인증권,코오롱인더,현대엘리베이터,한국콜마,애경산업,KB금융,다올투자증권
user298,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,0.75,0.5,0.75,0.75,0.75,0.5,0.75,1.0,KB금융,애경산업,삼성생명,HD현대중공업,삼성증권,미스토홀딩스,이마트,애경산업,한전KPS,현대엘리베이터,KCC,SK바이오팜
user299,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.75,0.0,0.25,0.25,0.0,1.0,0.5,0.25,0.5,0.0,0.0,현대오토에버,애경산업,상상인증권,미스토홀딩스,한화손해보험,현대엘리베이터,현대오토에버,현대엘리베이터,지역난방공사,미스토홀딩스,한온시스템,애경산업
user300,0.5,0.5,0.25,1.0,0.25,0.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.75,0.25,1.0,0.25,0.0,현대오토에버,애경산업,다올투자증권,현대엘리베이터,상상인증권,미스토홀딩스,한화에어로스페이스,애경산업,HD현대건설기계,현대엘리베이터,다올투자증권,미스토홀딩스
user301,0.5,0.5,0.25,0.5,0.0,0.75,0.75,1.0,0.25,0.25,0.5,0.75,1.0,0.0,0.25,0.25,0.25,0.0,KCC,애경산업,기업은행,현대엘리베이터,세방전지,HD현대중공업,한화,현대엘리베이터,한화투자증권,애경산업,두산에너빌리티,하나투어
user302,0.5,1.0,0.0,1.0,0.75,0.75,0.75,0.0,0.75,0.25,0.5,0.75,0.75,0.25,0.25,0.5,0.0,1.0,NH투자증권,HD현대중공업,롯데웰푸드,SK스퀘어,GS리테일,HL홀딩스,롯데이노베이트,애경산업,교보증권,현대엘리베이터,삼성전기,OCI 홀딩스
user303,0.75,0.0,0.5,0.75,0.0,1.0,0.25,0.0,0.75,0.5,0.75,0.75,0.5,1.0,0.25,0.5,0.0,1.0,SK텔레콤,한화손해보험,세방전지,한세실업,KCC,애경산업,삼성화재,애경산업,한화생명,현대엘리베이터,DL이앤씨,한세실업
user304,0.75,0.25,0.75,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.0,0.25,1.0,0.25,0.0,0.75,0.0,1.0,삼성증권,HD현대중공업,KB금융,SK디앤디,JB금융지주,미스토홀딩스,영원무역,OCI 홀딩스,세아홀딩스,두산,한화생명,현대엘리베이터
user305,0.25,0.0,0.75,0.5,1.0,0.25,0.25,0.0,0.25,0.5,0.0,0.5,1.0,0.75,0.75,1.0,0.75,2.0,아시아나항공,HD현대중공업,삼성증권,두산퓨얼셀,하나금융지주,엘앤에프,코오롱ENP,카카오페이,코오롱인더,미래에셋증권,한국콜마,OCI 홀딩스
user306,0.75,1.0,0.0,1.0,0.25,0.75,1.0,0.5,0.0,0.25,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2.0,하이트진로,HD현대중공업,삼양사,한화손해보험,롯데웰푸드,신세계 I&C,이마트,신세계 I&C,동원산업,카카오페이,롯데이노베이트,다올투자증권
user307,1.0,0.75,0.5,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.5,0.75,1.0,0.25,0.75,0.75,0.0,0.0,유한양행,애경산업,현대로템,현대엘리베이터,코오롱ENP,HD현대중공업,한미약품,현대엘리베이터,한화손해보험,애경산업,지역난방공사,삼성증권
user308,0.25,0.25,1.0,1.0,1.0,0.5,0.5,0.25,0.75,0.0,0.25,0.0,0.5,0.25,0.0,0.25,1.0,2.0,삼성증권,HD현대중공업,대한항공,HD현대일렉트릭,넷마블,엘앤에프,대한항공,OCI 홀딩스,넷마블,SK스퀘어,한독,두산
user309,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,0.5,1.0,1.0,0.5,0.0,0.5,0.75,2.0,NH투자증권,HD현대중공업,하이트진로,한화손해보험,GS리테일,SK스퀘어,롯데이노베이트,한화손해보험,두산밥캣,OCI 홀딩스,동원산업,카카오페이
user310,0.5,0.25,0.25,0.0,0.25,0.75,0.25,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.75,0.75,0.5,2.0,우리금융지주,한화손해보험,SK텔레콤,HD현대중공업,하이트진로,한미글로벌,세아베스틸지주,한미글로벌,SK텔레콤,애경케미칼,현대위아,다올투자증권
user311,0.0,0.5,0.25,0.5,0.75,0.25,0.25,1.0,0.25,0.0,0.75,0.75,1.0,0.75,1.0,0.5,0.25,2.0,우리금융지주,HD현대중공업,하나금융지주,두산퓨얼셀,아시아나항공,엘앤에프,한국금융지주,OCI 홀딩스,이마트,콜마홀딩스,우리금융지주,다올투자증권
user312,1.0,0.25,0.25,1.0,1.0,0.25,0.75,1.0,0.75,0.0,0.75,0.0,1.0,0.0,1.0,0.0,0.5,0.0,미래에셋증권,현대엘리베이터,한미글로벌,애경산업,현대오토에버,미스토홀딩스,한미글로벌,현대엘리베이터,한화,애경산업,LS ELCTRIC,미스토홀딩스
user313,0.25,1.0,0.25,0.75,0.0,0.5,1.0,1.0,0.25,0.25,0.5,0.5,0.5,0.0,0.75,0.25,0.25,0.0,미래에셋증권,애경산업,KCC,현대엘리베이터,기업은행,HD현대중공업,롯데케미칼,애경산업,한화솔루션,현대엘리베이터,한화,하나투어
user314,1.0,0.75,0.25,1.0,0.25,0.5,0.25,0.0,0.5,0.5,1.0,0.25,1.0,0.75,0.0,0.75,0.5,2.0,삼성증권,DS단석,NH투자증권,한화손해보험,우리금융지주,두산퓨얼셀,KB금융,OCI 홀딩스,롯데이노베이트,두산,교보증권,DS단석
user315,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.0,0.5,0.75,1.0,삼성증권,HD현대중공업,NH투자증권,한화솔루션,대한항공,DS단석,롯데이노베이트,OCI 홀딩스,LG디스플레이,애경산업,삼성전기,DS단석
user316,1.0,0.75,0.75,0.0,0.25,0.75,1.0,0.5,1.0,0.25,0.0,0.0,0.5,0.75,0.25,0.75,0.75,2.0,BNK금융,LG에너지솔루션,대한항공,HD현대중공업,NH투자증권,한화손해보험,롯데이노베이트,애경케미칼,삼성화재,카카오페이,롯데웰푸드,현대오토에버
user317,0.25,0.25,0.75,0.75,0.0,0.25,0.5,0.5,0.0,1.0,0.25,0.25,0.0,1.0,0.25,1.0,0.5,2.0,BNK금융,한화손해보험,NH투자증권,엘앤에프,삼성증권,두산퓨얼셀,OCI,한화손해보험,S-OIL,엘앤에프,롯데하이마트,카카오페이
user318,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.25,1.0,1.0,1.0,0.75,0.75,0.5,0.0,0.25,0.0,현대오토에버,애경산업,KCC,현대엘리베이터,한온시스템,롯데렌탈,현대오토에버,애경산업,한온시스템,현대엘리베이터,삼성SDI,하이트진로
user319,0.75,1.0,0.5,0.75,0.0,0.5,0.5,1.0,0.25,0.25,0.25,0.0,0.5,0.75,1.0,1.0,0.0,1.0,우리금융지주,미스토홀딩스,하나금융지주,한화손해보험,BNK금융,애경산업,롯데이노베이트,애경산업,이마트,현대엘리베이터,현대위아,카카오페이
user320,0.25,0.25,0.25,1.0,0.0,0.0,1.0,1.0,0.25,0.25,0.5,0.5,1.0,0.5,0.0,0.5,0.5,2.0,NH투자증권,한화손해보험,삼성증권,HD현대중공업,현대엘리베이터,현대제철,기업은행,콜마홀딩스,SK네트웍스,OCI 홀딩스,롯데하이마트,한화손해보험
user321,0.5,0.5,1.0,1.0,0.25,0.25,0.75,0.5,0.5,0.0,0.25,0.75,1.0,0.75,0.25,0.0,0.0,0.0,KCC,현대엘리베이터,현대오토에버,애경산업,한미글로벌,HL홀딩스,한화투자증권,현대엘리베이터,한미글로벌,애경산업,삼성중공업,롯데렌탈
user322,0.25,0.5,1.0,1.0,0.0,0.75,0.25,0.0,0.5,0.0,0.25,0.5,0.25,0.5,0.5,0.75,0.0,2.0,삼성증권,한화손해보험,하이트진로,HD현대중공업,한독,카카오페이,SGC에너지,현대오토에버,삼양홀딩스,한화손해보험,동아쏘시오그룹,카카오페이
user323,0.0,0.5,0.25,0.75,0.0,0.5,1.0,0.0,0.25,1.0,0.5,0.0,0.25,0.75,1.0,0.25,0.5,2.0,NH투자증권,한화손해보험,BNK금융,SK바이오팜,우리금융지주,엘앤에프,NH투자증권,신세계 I&C,BGF리테일,SK바이오팜,NEVER,한화손해보험
user324,0.75,0.0,0.25,0.75,0.0,0.75,0.5,1.0,0.0,1.0,0.25,0.0,0.75,0.5,1.0,0.0,0.0,0.0,세방전지,현대엘리베이터,현대오토에버,애경산업,KCC,HL홀딩스,현대오토에버,현대엘리베이터,현대제철,애경산업,삼성중공업,HL홀딩스
user325,0.5,1.0,0.5,0.75,1.0,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.75,1.0,0.75,0.0,현대오토에버,애경산업,KB금융,현대엘리베이터,JB금융지주,미스토홀딩스,지역난방공사,애경산업,한국가스공사,현대엘리베이터,한화에어로스페이스,하이트진로
user326,0.0,0.5,0.25,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.75,0.0,1.0,1.0,1.0,0.25,0.0,1.0,우리금융지주,HL홀딩스,SK텔레콤,미스토홀딩스,삼성생명,한세실업,삼성생명,한온시스템,NEVER,현대오토에버,SK네트웍스,애경케미칼
user327,0.25,0.75,0.25,1.0,0.0,0.0,0.25,0.75,0.75,0.25,0.75,0.75,0.5,0.5,0.0,0.25,0.5,2.0,삼성증권,한화손해보험,현대엘리베이터,HD현대중공업,애경산업,OCI 홀딩스,두산밥캣,OCI 홀딩스,교보증권,콜마홀딩스,삼성증권,한화손해보험
user328,0.0,0.5,0.0,0.75,0.0,0.0,0.75,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.75,0.75,0.5,1.0,SK네트웍스,HD현대중공업,SK텔레콤,한화손해보험,NH투자증권,카카오페이,이마트,카카오페이,동원산업,애경산업,HL만도,SK바이오팜
user329,0.5,1.0,0.5,0.25,0.5,1.0,0.75,0.0,0.5,0.75,0.25,1.0,1.0,1.0,0.0,0.5,0.5,0.0,세방전지,애경산업,현대로템,현대엘리베이터,롯데웰푸드,기업은행,한화투자증권,애경산업,삼성중공업,현대엘리베이터,HD현대중공업,롯데렌탈
user330,0.75,1.0,0.25,0.5,0.75,0.75,0.75,0.25,1.0,0.0,0.5,0.75,0.0,0.5,0.5,0.75,0.0,0.0,한미글로벌,애경산업,한화시스템,현대엘리베이터,롯데웰푸드,HD현대중공업,한미글로벌,애경산업,엘앤에프,현대엘리베이터,한화에어로스페이스,하나투어
user331,0.25,0.25,0.75,0.25,0.5,0.75,0.75,0.0,1.0,0.0,0.0,0.0,0.25,1.0,0.25,0.75,0.5,1.0,BNK금융,미스토홀딩스,한화생명,애경산업,삼성화재,두산밥캣,현대글로비스,현대오토에버,동원시스템즈,한온시스템,삼성화재,SK디앤디
user332,0.0,0.5,0.0,0.5,0.5,0.5,0.25,0.75,0.5,0.25,0.5,0.0,1.0,0.75,0.25,0.75,0.75,0.0,상상인증권,애경산업,교보증권,현대엘리베이터,JB금융지주,미스토홀딩스,한화,애경산업,한국가스공사,현대엘리베이터,상상인증권,미스토홀딩스
user333,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.5,0.25,0.25,1.0,1.0,0.5,0.75,0.0,0.0,한화투자증권,애경산업,현대오토에버,현대엘리베이터,한화,미스토홀딩스,한국가스공사,현대엘리베이터,SKC,애경산업,지역난방공사,하나투어
user334,0.25,1.0,0.5,0.5,0.5,0.25,1.0,0.75,0.75,0.25,0.75,1.0,0.75,0.5,0.25,0.5,0.25,2.0,SK텔레콤,HD현대중공업,NH투자증권,한화손해보험,롯데웰푸드,SK스퀘어,롯데이노베이트,콜마홀딩스,두산밥캣,OCI 홀딩스,한국금융지주,현대오토에버
user335,0.75,0.0,0.0,0.75,0.25,0.5,0.5,0.5,0.75,0.25,0.75,0.25,0.25,0.5,1.0,0.25,0.5,0.0,미래에셋증권,애경산업,현대오토에버,현대엘리베이터,한미글로벌,미스토홀딩스,한화시스템,애경산업,미래에셋증권,현대엘리베이터,포스코퓨처엠,미스토홀딩스
